tf,ind,thr,mode,sl_atr,tp_atr,sl,tp,n,alpha,z_alpha,net,L,S
H1,zscore_fib_144,2.17,continuation,1.87,1.87,58.2,58.2,641,2.96,1.5,-340.8,"(333, 51.65, 3.41, np.float64(1.24))","(308, 53.25, 2.48, np.float64(0.87))"
H1,zscore_fib_144,2.17,continuation,1.87,2.24,58.2,69.7,612,3.7,1.84,613.2,"(311, 47.59, 3.32, np.float64(1.18))","(301, 50.17, 4.09, np.float64(1.42))"
H1,zscore_fib_144,2.17,continuation,2.23,2.68,69.4,83.4,568,3.78,1.81,912.6,"(292, 48.29, 4.01, np.float64(1.38))","(276, 49.28, 3.54, np.float64(1.18))"
H1,zscore_fib_144,2.17,continuation,1.53,1.91,47.6,59.4,659,2.31,1.2,-832.0,"(339, 46.61, 3.47, np.float64(1.29))","(320, 46.25, 1.09, np.float64(0.39))"
H1,zscore_fib_144,2.63,reversion,1.87,1.87,58.2,58.2,396,-2.52,-1.0,-2703.6,"(201, 43.78, -4.46, np.float64(-1.27))","(195, 50.26, -0.51, np.float64(-0.14))"
H1,zscore_fib_144,2.63,reversion,1.87,2.24,58.2,69.7,388,-2.63,-1.04,-2758.5,"(198, 40.91, -3.36, np.float64(-0.95))","(190, 44.21, -1.86, np.float64(-0.52))"
H1,zscore_fib_144,2.63,reversion,2.23,2.68,69.4,83.4,369,-4.08,-1.58,-3867.9,"(186, 40.32, -3.96, np.float64(-1.09))","(183, 41.53, -4.21, np.float64(-1.14))"
H1,zscore_fib_144,2.63,reversion,1.53,1.91,47.6,59.4,407,-1.64,-0.67,-2205.3,"(204, 38.73, -4.41, np.float64(-1.27))","(203, 46.31, 1.14, np.float64(0.33))"
H1,zscore_fib_144,2.63,continuation,1.87,1.87,58.2,58.2,396,1.49,0.59,-841.2,"(195, 48.21, -0.04, np.float64(-0.01))","(201, 53.73, 2.97, np.float64(0.84))"
H1,zscore_fib_144,2.63,continuation,1.87,2.24,58.2,69.7,383,3.64,1.43,362.8,"(189, 46.03, 1.76, np.float64(0.49))","(194, 51.55, 5.47, np.float64(1.53))"
