entry_bar,exit_bar,pnl_pip,outcome,sl_pip,tp_pip,exit_kind,direction
208773,208777,11.200000000000454,win,160.52000000000058,160.52000000000058,0,long
208926,208930,8.300000000000818,win,160.52000000000058,160.52000000000058,0,long
211742,211746,-92.29999999999863,loss,160.52000000000058,160.52000000000058,0,long
212536,212540,35.89999999999846,win,160.52000000000058,160.52000000000058,0,long
212584,212588,78.50000000000064,win,160.52000000000058,160.52000000000058,0,long
214799,214803,-5.000000000000727,loss,160.52000000000058,160.52000000000058,0,long
215990,215994,-17.900000000000365,loss,160.52000000000058,160.52000000000058,0,long
215998,216002,19.499999999999726,win,160.52000000000058,160.52000000000058,0,long
216005,216009,-112.10000000000109,loss,160.52000000000058,160.52000000000058,0,long
216353,216357,-34.000000000001634,loss,160.52000000000058,160.52000000000058,0,long
216417,216421,-28.80000000000182,loss,160.52000000000058,160.52000000000058,0,long
216465,216469,3.499999999998363,win,160.52000000000058,160.52000000000058,0,long
216561,216565,1.8999999999998183,win,160.52000000000058,160.52000000000058,0,long
217017,217021,-18.20000000000009,loss,160.52000000000058,160.52000000000058,0,long
217023,217027,-17.299999999998636,loss,160.52000000000058,160.52000000000058,0,long
217029,217033,-29.700000000001,loss,160.52000000000058,160.52000000000058,0,long
217097,217101,27.099999999999635,win,160.52000000000058,160.52000000000058,0,long
217375,217379,-10.700000000000092,loss,160.52000000000058,160.52000000000058,0,long
217383,217387,18.800000000000363,win,160.52000000000058,160.52000000000058,0,long
217388,217392,-10.600000000000183,loss,160.52000000000058,160.52000000000058,0,long
217464,217468,-3.899999999999454,loss,160.52000000000058,160.52000000000058,0,long
217818,217822,21.100000000000545,win,160.52000000000058,160.52000000000058,0,long
218263,218267,-109.399999999999,loss,160.52000000000058,160.52000000000058,0,long
218357,218361,-15.200000000000546,loss,160.52000000000058,160.52000000000058,0,long
218444,218448,-33.3,loss,160.52000000000058,160.52000000000058,0,long
218740,218744,80.39999999999891,win,160.52000000000058,160.52000000000058,0,long
218810,218814,68.30000000000082,win,160.52000000000058,160.52000000000058,0,long
218906,218910,-69.09999999999927,loss,160.52000000000058,160.52000000000058,0,long
218931,218935,-6.599999999999272,loss,160.52000000000058,160.52000000000058,0,long
218988,218992,-21.99999999999891,loss,160.52000000000058,160.52000000000058,0,long
219080,219084,-4.5999999999988175,loss,160.52000000000058,160.52000000000058,0,long
219267,219271,-69.4999999999989,loss,160.52000000000058,160.52000000000058,0,long
219453,219457,57.89999999999891,win,160.52000000000058,160.52000000000058,0,long
219471,219475,12.199999999999545,win,160.52000000000058,160.52000000000058,0,long
219496,219500,-6.100000000002001,loss,160.52000000000058,160.52000000000058,0,long
219545,219549,-0.6000000000001817,loss,160.52000000000058,160.52000000000058,0,long
219631,219635,36.20000000000046,win,160.52000000000058,160.52000000000058,0,long
219721,219725,-26.399999999999455,loss,160.52000000000058,160.52000000000058,0,long
220091,220095,-26.499999999999364,loss,160.52000000000058,160.52000000000058,0,long
221440,221444,-9.099999999999273,loss,160.52000000000058,160.52000000000058,0,long
221514,221518,41.7,win,160.52000000000058,160.52000000000058,0,long
222268,222272,67.09999999999964,win,160.52000000000058,160.52000000000058,0,long
224516,224520,-43.99999999999936,loss,160.52000000000058,160.52000000000058,0,long
224710,224714,29.99999999999927,win,160.52000000000058,160.52000000000058,0,long
224804,224808,-49.29999999999909,loss,160.52000000000058,160.52000000000058,0,long
225082,225086,-10.400000000000365,loss,160.52000000000058,160.52000000000058,0,long
225094,225098,-71.59999999999927,loss,160.52000000000058,160.52000000000058,0,long
