entry_bar,exit_bar,pnl_pip,outcome,sl_pip,tp_pip,exit_kind,direction,t_entry,t_exit,src_card
442289,442293,-15.400000000000365,loss,160.52000000000058,160.52000000000058,0,long,1698258600000000000,1698262200000000000,XAUUSD-M15
442492,442496,-19.90000000000082,loss,160.52000000000058,160.52000000000058,0,long,1698441300000000000,1698444900000000000,XAUUSD-M15
442695,442699,-9.399999999999,loss,160.52000000000058,160.52000000000058,0,long,1698624000000000000,1698627600000000000,XAUUSD-M15
446059,446065,-311.1959999999988,loss,307.89599999999876,307.89599999999876,2,long,1701651600000000000,1701657000000000000,XAUUSD-M30
446315,446319,25.699999999998635,win,160.52000000000058,160.52000000000058,0,long,1701882000000000000,1701885600000000000,XAUUSD-M15
446509,446513,-74.4999999999989,loss,160.52000000000058,160.52000000000058,0,long,1702056600000000000,1702060200000000000,XAUUSD-M15
447009,447013,66.10000000000055,win,160.52000000000058,160.52000000000058,0,long,1702506600000000000,1702510200000000000,XAUUSD-M15
447075,447079,19.399999999999817,win,160.52000000000058,160.52000000000058,0,long,1702566000000000000,1702569600000000000,XAUUSD-M15
447192,447196,-49.50000000000118,loss,160.52000000000058,160.52000000000058,0,long,1702671300000000000,1702674900000000000,XAUUSD-M15
447200,447204,-13.999999999999364,loss,160.52000000000058,160.52000000000058,0,long,1702678500000000000,1702682100000000000,XAUUSD-M15
449004,449008,-38.89999999999945,loss,160.52000000000058,160.52000000000058,0,long,1704302100000000000,1704305700000000000,XAUUSD-M15
449019,449023,79.00000000000018,win,160.52000000000058,160.52000000000058,0,long,1704315600000000000,1704319200000000000,XAUUSD-M15
449195,449199,-47.10000000000109,loss,160.52000000000058,160.52000000000058,0,long,1704474000000000000,1704477600000000000,XAUUSD-M15
449485,449489,2.0999999999996364,win,160.52000000000058,160.52000000000058,0,long,1704735000000000000,1704738600000000000,XAUUSD-M15
449788,449792,4.8999999999993635,win,160.52000000000058,160.52000000000058,0,long,1705007700000000000,1705011300000000000,XAUUSD-M15
449869,449873,-5.899999999997635,loss,160.52000000000058,160.52000000000058,0,long,1705080600000000000,1705084200000000000,XAUUSD-M15
450350,450354,-37.30000000000091,loss,160.52000000000058,160.52000000000058,0,long,1705513500000000000,1705517100000000000,XAUUSD-M15
451791,451795,6.7,win,160.52000000000058,160.52000000000058,0,long,1706810400000000000,1706814000000000000,XAUUSD-M15
454951,454955,43.70000000000273,win,160.52000000000058,160.52000000000058,0,long,1709654400000000000,1709658000000000000,XAUUSD-M15
454957,454965,39.499999999997456,win,307.89599999999876,307.89599999999876,0,long,1709659800000000000,1709667000000000000,XAUUSD-M30
455051,455055,40.49999999999655,win,160.52000000000058,160.52000000000058,0,long,1709744400000000000,1709748000000000000,XAUUSD-M15
455059,455067,-31.900000000001274,loss,307.89599999999876,307.89599999999876,0,long,1709751600000000000,1709758800000000000,XAUUSD-M30
455091,455099,46.20000000000273,win,307.89599999999876,307.89599999999876,0,long,1709780400000000000,1709787600000000000,XAUUSD-M30
455103,455111,-50.20000000000054,loss,307.89599999999876,307.89599999999876,0,long,1709791200000000000,1709798400000000000,XAUUSD-M30
455114,455118,2.799999999996726,win,160.52000000000058,160.52000000000058,0,long,1709801100000000000,1709804700000000000,XAUUSD-M15
455142,455146,-58.50000000000436,loss,160.52000000000058,160.52000000000058,0,long,1709826300000000000,1709829900000000000,XAUUSD-M15
455237,455245,58.20000000000091,win,307.89599999999876,307.89599999999876,0,long,1709911800000000000,1709919000000000000,XAUUSD-M30
455527,455531,35.500000000001094,win,160.52000000000058,160.52000000000058,0,long,1710172800000000000,1710176400000000000,XAUUSD-M15
455620,455624,-36.59999999999927,loss,160.52000000000058,160.52000000000058,0,long,1710256500000000000,1710260100000000000,XAUUSD-M15
456410,456414,5.399999999998909,win,160.52000000000058,160.52000000000058,0,long,1710967500000000000,1710971100000000000,XAUUSD-M15
456423,456431,-114.69999999999872,loss,307.89599999999876,307.89599999999876,0,long,1710979200000000000,1710986400000000000,XAUUSD-M30
456575,456579,27.899999999998908,win,160.52000000000058,160.52000000000058,0,long,1711116000000000000,1711119600000000000,XAUUSD-M15
456869,456877,-20.29999999999818,loss,307.89599999999876,307.89599999999876,0,long,1711380600000000000,1711387800000000000,XAUUSD-M30
456967,456971,-53.499999999999815,loss,160.52000000000058,160.52000000000058,0,long,1711468800000000000,1711472400000000000,XAUUSD-M15
