entry_bar,exit_bar,outcome,pnl_pip,sl_pip,tp_pip,direction,t_entry,t_exit,src_card
13825,13832,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1596412800000000000,1596564000000000000,XAUUSD-H6
13837,13839,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1596672000000000000,1596715200000000000,XAUUSD-H6
14204,14219,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1604599200000000000,1604923200000000000,XAUUSD-H6
14413,14414,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1609113600000000000,1609135200000000000,XAUUSD-H6
14425,14441,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1609372800000000000,1609718400000000000,XAUUSD-H6
14820,14823,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1617904800000000000,1617969600000000000,XAUUSD-H6
14848,14862,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1618509600000000000,1618812000000000000,XAUUSD-H6
14869,14897,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1618963200000000000,1619568000000000000,XAUUSD-H6
14932,14935,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1620324000000000000,1620388800000000000,XAUUSD-H6
14936,14956,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1620410400000000000,1620842400000000000,XAUUSD-H6
14964,14976,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1621015200000000000,1621274400000000000,XAUUSD-H6
14986,15007,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1621490400000000000,1621944000000000000,XAUUSD-H6
15008,15019,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1621965600000000000,1622203200000000000,XAUUSD-H6
15029,15035,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1622419200000000000,1622548800000000000,XAUUSD-H6
15268,15272,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1627581600000000000,1627668000000000000,XAUUSD-H6
15412,15426,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1630692000000000000,1630994400000000000,XAUUSD-H6
15619,15623,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1635163200000000000,1635249600000000000,XAUUSD-H6
15664,15683,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1636135200000000000,1636545600000000000,XAUUSD-H6
15684,15706,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1636567200000000000,1637042400000000000,XAUUSD-H6
15712,15718,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1637172000000000000,1637301600000000000,XAUUSD-H6
15856,15879,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1640282400000000000,1640779200000000000,XAUUSD-H6
15885,15899,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1640908800000000000,1641211200000000000,XAUUSD-H6
15964,15992,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1642615200000000000,1643220000000000000,XAUUSD-H6
16065,16069,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1644796800000000000,1644883200000000000,XAUUSD-H6
16078,16097,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1645077600000000000,1645488000000000000,XAUUSD-H6
16105,16106,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1645660800000000000,1645682400000000000,XAUUSD-H6
16129,16131,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1646179200000000000,1646222400000000000,XAUUSD-H6
16138,16140,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1646373600000000000,1646416800000000000,XAUUSD-H6
16153,16154,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1646697600000000000,1646719200000000000,XAUUSD-H6
16318,16320,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1650261600000000000,1650304800000000000,XAUUSD-H6
16753,16755,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1659657600000000000,1659700800000000000,XAUUSD-H6
16772,16795,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1660068000000000000,1660564800000000000,XAUUSD-H6
17144,17162,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1668103200000000000,1668492000000000000,XAUUSD-H6
17165,17171,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1668556800000000000,1668686400000000000,XAUUSD-H6
17226,17227,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1669874400000000000,1669896000000000000,XAUUSD-H6
17276,17280,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1670954400000000000,1671040800000000000,XAUUSD-H6
17304,17311,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1671559200000000000,1671710400000000000,XAUUSD-H6
17342,17357,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1672380000000000000,1672704000000000000,XAUUSD-H6
17361,17367,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1672790400000000000,1672920000000000000,XAUUSD-H6
17372,17395,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1673028000000000000,1673524800000000000,XAUUSD-H6
17396,17400,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1673546400000000000,1673632800000000000,XAUUSD-H6
17424,17439,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1674151200000000000,1674475200000000000,XAUUSD-H6
17441,17443,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1674518400000000000,1674561600000000000,XAUUSD-H6
17449,17451,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1674691200000000000,1674734400000000000,XAUUSD-H6
17477,17479,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1675296000000000000,1675339200000000000,XAUUSD-H6
17635,17642,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1678708800000000000,1678860000000000000,XAUUSD-H6
17644,17651,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1678903200000000000,1679054400000000000,XAUUSD-H6
17664,17666,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1679335200000000000,1679378400000000000,XAUUSD-H6
17676,17680,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1679594400000000000,1679680800000000000,XAUUSD-H6
