signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held,bar_dt
788400,788401,788404,long,1901.11,1905.25,win,38.100000000001,80.0,3,2022-05-05 15:15:00
788631,788632,788634,long,1878.98,1879.7800000000002,win,4.700000000001819,80.0,2,2022-05-06 11:30:00
788679,788680,788682,long,1887.76,1889.23,win,11.400000000000272,80.0,2,2022-05-06 15:30:00
788727,788728,788730,long,1888.41,1889.0800000000002,win,3.4000000000007278,80.0,2,2022-05-06 19:30:00
789098,789099,789101,long,1859.38,1859.8300000000002,win,1.200000000000455,80.0,2,2022-05-10 05:25:00
789157,789158,789160,long,1862.08,1861.96,loss,-4.499999999998908,80.0,2,2022-05-10 10:20:00
789207,789208,789232,long,1864.14,1863.64,loss,-8.3,80.0,24,2022-05-10 14:30:00
789421,789422,789424,long,1842.91,1844.3200000000002,win,10.800000000000818,80.0,2,2022-05-11 09:20:00
789469,789470,789472,long,1851.53,1852.7800000000002,win,9.200000000002273,80.0,2,2022-05-11 13:20:00
789520,789521,789523,long,1850.88,1851.98,win,7.699999999999091,80.0,2,2022-05-11 17:35:00
789569,789570,789573,long,1851.73,1852.48,win,4.2,80.0,3,2022-05-11 21:40:00
789617,789618,789620,long,1854.28,1855.38,win,7.700000000001364,80.0,2,2022-05-12 02:40:00
789987,789988,790000,long,1828.4,1820.4,loss,-83.3,80.0,12,2022-05-13 10:30:00
790171,790172,790174,long,1814.8,1815.8000000000002,win,6.700000000002274,80.0,2,2022-05-16 03:50:00
790333,790334,790337,long,1812.56,1814.6100000000001,win,17.20000000000182,80.0,3,2022-05-16 17:20:00
790383,790384,790388,long,1815.07,1817.3600000000001,win,19.60000000000191,80.0,4,2022-05-16 21:30:00
790431,790432,790436,long,1826.81,1828.5700000000002,win,14.300000000002182,80.0,4,2022-05-17 02:30:00
790506,790507,790509,long,1826.99,1828.0300000000002,win,7.10000000000191,80.0,2,2022-05-17 08:45:00
790560,790561,790563,long,1829.49,1829.19,loss,-6.299999999999545,80.0,2,2022-05-17 13:15:00
790803,790804,790806,long,1815.73,1815.26,loss,-8.000000000000274,80.0,2,2022-05-18 10:30:00
790898,790899,790901,long,1817.17,1820.0500000000002,win,25.50000000000109,80.0,2,2022-05-18 18:25:00
790974,790975,790977,long,1816.92,1816.5900000000001,loss,-6.599999999999272,80.0,2,2022-05-19 01:45:00
791025,791026,791028,long,1816.65,1816.66,loss,-3.2000000000000908,80.0,2,2022-05-19 06:00:00
791093,791094,791096,long,1817.28,1822.39,win,47.800000000001276,80.0,2,2022-05-19 11:40:00
791142,791143,791145,long,1839.29,1838.72,loss,-8.999999999999364,80.0,2,2022-05-19 15:45:00
791191,791192,791194,long,1842.11,1842.42,loss,-0.19999999999827178,80.0,2,2022-05-19 19:50:00
791240,791241,791245,long,1841.43,1841.6100000000001,loss,-1.4999999999993632,80.0,4,2022-05-19 23:55:00
791318,791319,791330,long,1843.14,1843.5800000000002,win,1.1000000000005459,80.0,11,2022-05-20 07:25:00
791368,791369,791371,long,1845.63,1845.65,loss,-3.1000000000001817,80.0,2,2022-05-20 11:35:00
791504,791505,791507,long,1848.87,1848.5500000000002,loss,-6.499999999997089,80.0,2,2022-05-20 22:55:00
791555,791556,791558,long,1852.4,1852.3400000000001,loss,-3.899999999999454,80.0,2,2022-05-23 05:10:00
791605,791606,791611,long,1854.56,1853.99,loss,-8.999999999999364,80.0,5,2022-05-23 09:20:00
791655,791656,791658,long,1862.35,1862.0400000000002,loss,-6.39999999999718,80.0,2,2022-05-23 13:30:00
791797,791798,791845,long,1854.8,1854.03,loss,-10.999999999999819,80.0,47,2022-05-24 02:20:00
791846,791847,791858,long,1854.39,1856.3300000000002,win,16.100000000000545,80.0,11,2022-05-24 06:25:00
791894,791895,791897,long,1856.7,1856.49,loss,-5.400000000000364,80.0,2,2022-05-24 10:25:00
791942,791943,791946,long,1857.96,1858.5500000000002,win,2.6000000000014554,80.0,3,2022-05-24 14:25:00
791991,791992,791994,long,1867.53,1867.5400000000002,loss,-3.199999999997817,80.0,2,2022-05-24 18:30:00
792042,792043,792045,long,1866.09,1866.14,loss,-2.799999999998181,80.0,2,2022-05-24 22:45:00
792356,792357,792359,long,1853.79,1853.52,loss,-5.999999999999818,80.0,2,2022-05-26 02:55:00
792525,792526,792528,long,1850.48,1850.5300000000002,loss,-2.799999999998181,80.0,2,2022-05-26 17:00:00
792581,792582,792586,long,1850.55,1852.5500000000002,win,16.700000000002273,80.0,4,2022-05-26 21:40:00
792631,792632,792634,long,1852.73,1852.26,loss,-8.000000000000274,80.0,2,2022-05-27 02:50:00
792707,792708,792710,long,1854.86,1854.5600000000002,loss,-6.299999999997271,80.0,2,2022-05-27 09:10:00
792755,792756,792758,long,1859.56,1859.5400000000002,loss,-3.499999999997544,80.0,2,2022-05-27 13:10:00
792916,792917,792919,long,1855.49,1856.43,win,6.100000000000546,80.0,2,2022-05-30 04:35:00
792964,792965,792967,long,1862.32,1862.21,loss,-4.399999999998999,80.0,2,2022-05-30 08:35:00
793058,793059,793061,long,1860.33,1860.3400000000001,loss,-3.199999999997817,80.0,2,2022-05-30 16:25:00
793212,793213,793216,long,1854.22,1853.88,loss,-6.699999999999181,80.0,3,2022-05-31 08:50:00
793569,793570,793572,long,1838.12,1841.73,win,32.800000000001276,80.0,2,2022-06-01 15:35:00
793620,793621,793623,long,1847.88,1848.25,win,0.3999999999989088,80.0,2,2022-06-01 19:50:00
793680,793681,793699,long,1847.06,1848.16,win,7.700000000001364,80.0,18,2022-06-02 01:50:00
793761,793762,793764,long,1847.12,1848.1200000000001,win,6.700000000002274,80.0,2,2022-06-02 08:35:00
793809,793810,793813,long,1854.07,1854.18,loss,-2.1999999999987265,80.0,3,2022-06-02 12:35:00
793857,793858,793860,long,1864.24,1865.89,win,13.200000000000909,80.0,2,2022-06-02 16:35:00
793906,793907,793921,long,1868.65,1869.25,win,2.6999999999990907,80.0,14,2022-06-02 20:40:00
793957,793958,793962,long,1869.32,1869.5800000000002,loss,-0.699999999997817,80.0,4,2022-06-03 01:55:00
794273,794274,794276,long,1855.53,1855.3100000000002,loss,-5.499999999997999,80.0,2,2022-06-06 06:15:00
794378,794379,794381,long,1854.97,1857.0400000000002,win,17.400000000001636,80.0,2,2022-06-06 15:00:00
