n,wr,be,lift,z,sl_pip,tp_pip,net_pip,tf,ind,thr,mode,sl_atr,tp_atr
764,46.6,50.0,-3.4,-1.88,28.2,28.2,-3987.6,M30,trendflex,2.1,reversion,1.31,1.31
764,42.54,44.76,-2.22,-1.24,28.2,34.8,-3591.0,M30,trendflex,2.1,reversion,1.31,1.62
764,45.81,50.0,-4.19,-2.32,40.2,40.2,-5094.0,M30,trendflex,2.1,reversion,1.87,1.87
763,41.42,45.48,-4.06,-2.25,40.2,48.2,-5256.1,M30,trendflex,2.1,reversion,1.87,2.24
5148,50.06,50.0,0.06,0.08,28.2,28.2,-16792.5,M30,reflex,0.83,continuation,1.31,1.31
4975,45.25,44.76,0.48,0.69,28.2,34.8,-14872.8,M30,reflex,0.83,continuation,1.31,1.62
4431,51.07,50.0,1.07,1.43,40.2,40.2,-10803.3,M30,reflex,0.83,continuation,1.87,1.87
4189,45.93,45.48,0.45,0.59,40.2,48.2,-12179.7,M30,reflex,0.83,continuation,1.87,2.24
5148,48.14,50.0,-1.86,-2.68,28.2,28.2,-22373.1,M30,reflex,0.83,reversion,1.31,1.31
4986,43.38,44.76,-1.38,-1.96,28.2,34.8,-20760.3,M30,reflex,0.83,reversion,1.31,1.62
4431,48.07,50.0,-1.93,-2.57,40.2,40.2,-21496.5,M30,reflex,0.83,reversion,1.87,1.87
4187,44.16,45.48,-1.31,-1.71,40.2,48.2,-18682.9,M30,reflex,0.83,reversion,1.87,2.24
3957,50.04,50.0,0.04,0.05,28.2,28.2,-12955.3,M30,reflex,1.17,continuation,1.31,1.31
3871,44.95,44.76,0.19,0.23,28.2,34.8,-12298.3,M30,reflex,1.17,continuation,1.31,1.62
3571,50.46,50.0,0.46,0.55,40.2,40.2,-10427.5,M30,reflex,1.17,continuation,1.87,1.87
3419,45.72,45.48,0.24,0.28,40.2,48.2,-10590.6,M30,reflex,1.17,continuation,1.87,2.24
3957,48.37,50.0,-1.63,-2.05,28.2,28.2,-16714.1,M30,reflex,1.17,reversion,1.31,1.31
3865,43.8,44.76,-0.96,-1.2,28.2,34.8,-15113.3,M30,reflex,1.17,reversion,1.31,1.62
3571,48.81,50.0,-1.19,-1.42,40.2,40.2,-15231.5,M30,reflex,1.17,reversion,1.87,1.87
3430,44.87,45.48,-0.61,-0.71,40.2,48.2,-13195.6,M30,reflex,1.17,reversion,1.87,2.24
2846,49.68,50.0,-0.32,-0.34,28.2,28.2,-9899.4,M30,reflex,1.46,continuation,1.31,1.31
2816,45.42,44.76,0.66,0.7,28.2,34.8,-8127.0,M30,reflex,1.46,continuation,1.31,1.62
2677,51.03,50.0,1.03,1.06,40.2,40.2,-6623.1,M30,reflex,1.46,continuation,1.87,1.87
2599,46.17,45.48,0.7,0.71,40.2,48.2,-6946.7,M30,reflex,1.46,continuation,1.87,2.24
2846,48.42,50.0,-1.58,-1.69,28.2,28.2,-11929.8,M30,reflex,1.46,reversion,1.31,1.31
2806,43.3,44.76,-1.46,-1.56,28.2,34.8,-11844.0,M30,reflex,1.46,reversion,1.31,1.62
2677,48.23,50.0,-1.77,-1.84,40.2,40.2,-12653.1,M30,reflex,1.46,reversion,1.87,1.87
2600,43.65,45.48,-1.82,-1.86,40.2,48.2,-12804.1,M30,reflex,1.46,reversion,1.87,2.24
1862,48.44,50.0,-1.56,-1.34,28.2,28.2,-7780.2,M30,reflex,1.73,continuation,1.31,1.31
1846,44.69,44.76,-0.07,-0.06,28.2,34.8,-6174.0,M30,reflex,1.73,continuation,1.31,1.62
1785,50.36,50.0,0.36,0.31,40.2,40.2,-5367.9,M30,reflex,1.73,continuation,1.87,1.87
1752,44.92,45.48,-0.56,-0.47,40.2,48.2,-6641.2,M30,reflex,1.73,continuation,1.87,2.24
1862,49.3,50.0,-0.7,-0.6,28.2,28.2,-6877.8,M30,reflex,1.73,reversion,1.31,1.31
1843,44.93,44.76,0.16,0.14,28.2,34.8,-5890.5,M30,reflex,1.73,reversion,1.31,1.62
1785,48.85,50.0,-1.15,-0.97,40.2,40.2,-7538.7,M30,reflex,1.73,reversion,1.87,1.87
1754,43.61,45.48,-1.86,-1.56,40.2,48.2,-8653.5,M30,reflex,1.73,reversion,1.87,2.24
844,47.39,50.0,-2.61,-1.51,28.2,28.2,-4026.0,M30,reflex,2.1,continuation,1.31,1.31
843,43.53,44.76,-1.23,-0.72,28.2,34.8,-3433.5,M30,reflex,2.1,continuation,1.31,1.62
836,49.88,50.0,-0.12,-0.07,40.2,40.2,-2839.2,M30,reflex,2.1,continuation,1.87,1.87
831,43.68,45.48,-1.79,-1.04,40.2,48.2,-4059.3,M30,reflex,2.1,continuation,1.87,2.24
